term,category,hasSyn,id,ext_id,remark
eye,structure,1,698,,""
face,structure,1,699,,""
facets,structure,0,700,,""
facial,structure,0,701,,""
fade,intensity_level,1,702,,""
fail,intensity_level,1,703,,""
faint,intensity_level,1,704,,""
falciform,shape,0,705,,""
fall,direction,1,706,,""
fan_like,shape,1,707,,""
far,size,0,708,,""
farther,life_style,0,709,,""
fascia,structure,0,710,,""
fashion,structure,0,711,,""
fauna,structure,0,712,,""
feae,structure,0,713,,""
feeble,intensity_level,1,714,,""
feeding,habit,0,715,,""
female,reproduction,1,716,,""
femur,structure,1,717,,""
ferraginous,coloration,0,718,,""
ferrugineus,coloration,0,719,,""
ferruginous,coloration,1,720,,""
fertile,reproduction,0,721,,""
festoon,structure,0,722,,""
few,density,1,723,,""
field,structure,0,724,,""
fifteenth,position,0,725,,""
fifth,count,0,726,,""
fig,manifestation,0,727,,""
fig,nominative,0,728,,""
fight,habit,1,729,,""
filamentous,structure,0,730,,""
filaments,structure,0,731,,""
filiform,shape,0,732,,""
fill,presence,1,733,,""
film,reflectance,0,734,,""
fin,structure,0,735,,""
fine,size,1,736,,""
finest,surface_sculpture,0,737,,""
finetipped,shape,0,738,,""
fingerlike,shape,0,739,,""
fingerprint_like,shape,0,740,,""
finishing,presence,0,741,,""
finlet,structure,1,742,,""
fins,structure,0,743,,""
first,position,0,744,,""
fission,differentiation,0,745,,""
fissure,structure,0,746,,""
five,count,0,747,,""
five_jointed,shape,0,748,,""
flagel,structure,0,749,,""
flagellar,structure,1,750,,""
flagelliform,shape,0,751,,""
flagellomeres,structure,0,752,,""
flagellum,structure,0,753,,""
flanged,shape,0,754,,""
flanked,position,1,755,,""
flanks,structure,0,756,,""
flap,position,0,757,,""
flared,reflectance,0,758,,""
flaring,shape,0,759,,""
flaring,reflectance,0,760,,""
flat,shape,1,761,,""
flat_topped,shape,0,762,,""
flavens_group,structure,0,763,,""
flavohyaline,coloration,0,764,,""
fleshy,texture,0,765,,""
flexed,shape,0,766,,""
flexible,variability,0,767,,""
flexible,architecture,0,768,,""
flexion,position,0,769,,""
flexuous,course,0,770,,""
flight,habit,0,771,,""
flight_functional,habit,0,772,,""
floor,structure,0,773,,""
folded,arrangement,0,774,,""
folded,shape,0,775,,""
folds,structure,0,776,,""
foliaceous,surface_sculpture,0,777,,""
food_pellet,structure,0,778,,""
footstalk,structure,0,779,,""
foraging,habit,0,780,,""
forcipate,shape,0,781,,""
fore,position,0,782,,""
fore_half,position,0,783,,""
forecoxa,structure,1,784,,""
forego,position,0,785,,""
forehead,structure,0,786,,""
foremost,position,0,787,,""
fork,structure,0,788,,""
former,position,0,789,,""
forth,count,0,790,,""
forward,direction,1,791,,""
forward_projecting,shape,0,792,,""
four,count,1,793,,""
four_segmented,count,0,794,,""
fourteenth,position,0,795,,""
fourth,count,0,796,,""
fovea,structure,1,797,,""
foveate,relief,0,798,,""
foveo_reticulate,surface_sculpture,0,799,,""
foveolae,structure,0,800,,""
foveolate,surface_sculpture,0,801,,""
foveolate_punctate,surface_sculpture,0,802,,""
foveolatereticulate,surface_sculpture,0,803,,""
foveolation,structure,0,804,,""
fragile,manifestation,0,805,,""
fragile,fragility,0,806,,""
free,absence,0,807,,""
frequent,frequency,1,808,,""
fresh,condition,0,809,,""
fringe,structure,0,810,,""
fringed,shape,1,811,,""
frons,structure,0,812,,""
front,position,1,813,,""
frontoclypeal,structure,0,814,,""
fuliginous,coloration,0,815,,""
full,size,0,816,,""
fullest,density,0,817,,""
fullface,structure,0,818,,""
fulvohyaline,coloration,0,819,,""
fulvous,coloration,0,820,,""
functional,condition,0,821,,""
fungus_growing,architecture,0,822,,""
funicular,shape,0,823,,""
funicular,derivation,0,824,,""
funiculi,structure,1,825,,""
furnish,presence,1,826,,""
furrow,structure,1,827,,""
furrowed,architecture,0,828,,""
furrows_shaped,shape,0,829,,""
fusco_ferruginous,coloration,0,830,,""
fusco_hyaline,coloration,1,831,,""
fusco_testaceous,coloration,0,832,,""
fuscoferruginous,surface_sculpture,0,833,,""
fuscous,coloration,1,834,,""
fuscous_red,coloration,0,835,,""
fusiform,shape,0,836,,""
fusion,character,1,837,,""
fuzzy,coloration,0,838,,""
galea,structure,0,839,,""
gaster,structure,0,840,,""
gasteric,structure,0,841,,""
gastral,structure,0,842,,""
gastric,structure,0,843,,""
gena,structure,0,844,,""
genal,structure,0,845,,""
generalized,normality,0,846,,""
generic,structure,0,847,,""
geniculate,shape,1,848,,""
genital,structure,0,849,,""
gentle,intensity_level,0,850,,""
genual,shape,0,851,,""
geographic,structure,0,852,,""
gibbous,shape,1,853,,""
gilded,coloration,0,854,,""
gill,structure,1,855,,""
gillslit,structure,0,856,,""
girdling,architecture,0,857,,""
glabrous,surface_sculpture,0,858,,""
gland,structure,0,859,,""
glass_like,shape,0,860,,""
glassy,surface_sculpture,1,861,,""
glaucous,coating,0,862,,""
glistening,reflectance,1,863,,""
globate,shape,1,864,,""
gloss,surface_sculpture,1,865,,""
glue,surface_sculpture,0,866,,""
golden,coloration,1,867,,""
gongshanensis,structure,0,868,,""
gracilicaudata,structure,0,869,,""
gradient,intensity_level,0,870,,""
grading,intensity_level,0,871,,""
gradual,intensity_level,0,872,,""
grandidieri_group,group,0,873,,""
granular,surface_sculpture,1,874,,""
granulate_foveolate,surface_sculpture,0,875,,""
granulate_punctate,surface_sculpture,1,876,,""
granulate_tuberculate,surface_sculpture,0,877,,""
gravel,surface_sculpture,0,878,,""
great,intensity_level,0,879,,""
greater,size,1,880,,""
green,coloration,1,881,,""
grey,coloration,1,882,,""
griseous,coloration,0,883,,""
groove,structure,1,884,,""
grooved,architecture,0,885,,""
ground_sculpture,structure,0,886,,""
groundpilosity,surface_sculpture,0,887,,""
growing,development,0,888,,""
hair,structure,1,889,,""
hair_bearing,surface_sculpture,0,890,,""
hair_like,surface_sculpture,0,891,,""
hairless,absence,0,892,,""
hairless,presence,0,893,,""
hairline,surface_sculpture,0,894,,""
hairy,structure,0,895,,""
hairy,surface_sculpture,0,896,,""
half,ratio,0,897,,""
halfway,position,0,898,,""
halves,structure,0,899,,""
hamuli,structure,0,900,,""
hard,intensity_level,0,901,,""
head,structure,0,902,,""
head_smooth,surface_sculpture,0,903,,""
heading,position,0,904,,""
headless,architecture,0,905,,""
headless,shape,0,906,,""
heart_shaped,shape,1,907,,""
heavy,weight,1,908,,""
helcium,structure,0,909,,""
hemisphere,structure,0,910,,""
hemispheric,shape,1,911,,""
hidden,presence,0,912,,""
hiding,absence,0,913,,""
hiding,presence,0,914,,""
high,height,1,915,,""
high_domed,shape,0,916,,""
high_subconical,shape,0,917,,""
hind,position,1,918,,""
hint,structure,0,919,,""
hispid,surface_sculpture,0,920,,""
hoary,surface_sculpture,0,921,,""
hollow,architecture,1,922,,""
hollow_curved,shape,0,923,,""
holotype,structure,0,924,,""
homologous,development,0,925,,""
hood_like,shape,0,926,,""
hook,structure,0,927,,""
hook_like,shape,1,928,,""
horizontal,position,0,929,,""
horn_shaped,shape,1,930,,""
horseshoe_shaped,shape,0,931,,""
hourglass,shape,0,932,,""
hue,coloration,1,933,,""
