term,synonym,id,remark
subquadrate,"subquadratic",2103,
subtrapezoid,"subtrapezoidal",2119,
subtrapezoid,"subtrapezoideal",2119,
suppressed,"suppresses",2138,
surpassed,"surpassing",2146,
suture,"sutures",2150,
symmetric,"symmetrical",2153,
symmetric,"symmetrix",2153,
tall,"taller",2161,
taper,"tapered",2163,
taper,"tapering",2163,
taper,"tapers",2163,
tarsus,"tarsi",2165,
temple,"temples",2172,
tergite,"tergites",2182,
terminal,"terminate",2186,
terminal,"terminates",2186,
terminal,"terminating",2186,
thick,"thickened",2195,
thick,"thickening",2195,
thick,"thicker",2195,
thick,"thickest",2195,
thick,"thickness",2195,
thick,"thickset",2195,
thyridium,"thyridia",2213,
tibia,"tibiae",2215,
tinge,"tinged",2221,
tip,"tips",2224,
tooth,"teeth",2230,
top,"topmost",2235,
top,"topped",2235,
trace,"traces",2240,
transversal,"transverse",2248,
transversal,"traversing",2248,
trapezoid,"trapezoidal",2252,
triangle,"triangles",2256,
triangle,"triangular",2256,
triangle,"triangular_shaped",2256,
tricolorous,"tricoloured",2259,
truncate,"truncated",2267,
tubercle,"tubercles",2270,
tubercular,"tuberculated",2272,
tubercular,"tuberculiform",2272,
tumular,"tumuliform",2279,
u_shape,"u_shaped",2294,
u_shape,"u_shapes",2294,
unbranched,"unbranching",2298,
unicolor,"unicolorous",2317,
unite,"united",2321,
unite,"unites",2321,
unite,"uniting",2321,
upper,"uppermost",2334,
upward,"upward_turning",2337,
upward,"upwards",2337,
variability,"variant",2339,
variability,"varied",2339,
variability,"varies",2339,
variability,"vary",2339,
variability,"varying",2339,
vein,"veins",2345,
ventral,"venter",2350,
ventral,"ventrad",2350,
ventral,"ventral_most",2350,
ventral,"ventre",2350,
ventral,"ventrum",2350,
weak,"weaken",2381,
weak,"weakened",2381,
weak,"weakening",2381,
weak,"weaker",2381,
wedge,"wedge_shaped",2382,
wedge,"wedged",2382,
wedge,"wedgeshaped",2382,
white,"whitish",2396,
white,"whity",2396,
wide,"widened",2399,
wide,"widening",2399,
wide,"wider",2399,
wide,"widest",2399,
wing,"wings",2404,
worker,"workers",2411,
worker_female,"workerfemale",2412,
yellow,"yellowish",2419,
yellow,"yellows",2419,
yellow_orange,"yellowish_orange",2420,
yellowish_brown,"yellowbrown",2423,
